Symbol,Name,Price,"Assets
Suspect?","Rev.
Suspect?","PPE
Suspect?","ROE
Low?","No
Dopeler
Book
Value?","Dopeler
ROE
(Ave.)","Dopeler
ROE
(Lowball)","Dopeler
P/B","Dopeler
PE","Dopeler
Yield","Dopeler
Book
Value","Dopeler
EPS","Net
Liquidity/Share",Sector,Industry,"Assets
(billions,
SmartMoney)","Assets
(billions,
Yahoo)","Assets
Ratio
(dB)","Revenue
(billions,
SmartMoney)","Revenue
(billions,
Yahoo)","Revenue
Ratio
(dB)","PPE
Growth
(dB)","PPE
Growth
Std.
Dev
(dB)","Dopeler
ROE
(rel.
std.
dev.)","Dopeler
ROE (Y1)","Dopeler
ROE (Y2)","Dopeler
ROE (Y3)","Dopeler
ROE (Y4)"
CBRL,"Cracker Barrel Old Country Store, Inc.",65.5,False,False,False,True,True,0.034,0.004,N/A,42.3,0.024,-14.84,2.485,-39.70,Consumer Services,Restaurants,1.474974,1.418992,0.168,2.580195,2.580195,0.000,0.111,0.075,0.773,0.057,0.004,0.054,0.020
BREW,"Craft Brew Alliance, Inc.",6.96,False,False,False,True,True,-0.067,-0.202,N/A,N/A,N/A,-8.44,-0.560,-2.84,Consumer Non-Durables,Beverages (Production/Distribution),0.158908,0.158908,0.000,0.149197,0.149197,0.000,0.607,0.874,1.357,-0.014,-0.016,-0.035,-0.202
CRAY,Cray Inc,18.66,False,False,True,True,True,-0.220,-0.530,N/A,N/A,N/A,-7.83,-0.621,-1.62,Technology,Computer Manufacturing,0.283533,0.283099,0.007,0.263177,0.236046,0.473,0.039,1.476,1.841,-0.298,-0.423,0.371,-0.530
CACC,Credit Acceptance Corporation,100.56,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-59.31,Finance,Finance: Consumer Services,2.1332,1.758598,0.839,0.6092,0.525192,0.644,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRFN,"Crescent Financial Bancshares, Inc.",4.31,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.085225,0.834503,1.141,None,0.051016,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRESW,Cresud S.A.C.I.F. y A.,0.061,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Non-Durables,Farming/Seeds/Milling,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ATX,Cross (A.T.) Company,11.44,False,False,False,True,True,0.028,-0.009,N/A,66.9,0.015,-1.65,0.230,-3.95,Consumer Durables,Consumer Specialties,0.155415,0.155415,0.000,0.174637,0.174637,0.000,0.004,0.193,0.967,0.025,0.041,-0.009,0.054
CRDS,"Crossroads Systems, Inc.",2.29,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.26,Technology,Computer peripheral equipment,0.012024,0.012024,0.000,0.013999,0.013999,0.000,N/A,N/A,N/A,-0.515,N/A,-0.085,N/A
XTXI,"Crosstex Energy, Inc.",16.9,False,False,False,True,True,-0.029,-0.060,N/A,N/A,N/A,-33.13,-0.992,-23.20,Energy,Oil Refining/Marketing,1.962616,1.962616,0.000,2.013942,2.013942,0.000,0.006,0.530,1.086,-0.010,-0.049,-0.060,0.005
XTEX,"Crosstex Energy, L.P.",16.75,False,False,False,True,True,-0.024,-0.055,N/A,N/A,N/A,-20.83,-0.523,-15.60,Energy,Oil Refining/Marketing,1.955331,1.955331,0.000,2.013942,2.013942,0.000,0.006,0.531,1.230,-0.006,-0.043,-0.055,0.008
CRWN,"Crown Media Holdings, Inc.",1.9,False,False,True,True,True,0.271,-7.481,N/A,188.6,0.005,-1.69,0.020,-1.89,Consumer Services,Television Services,0.958469,0.958469,0.000,0.323361,0.323361,0.000,-0.035,2.535,20.406,-7.481,5.662,1.257,1.648
CRMB,"Crumbs Bake Shop, Inc.",3.06,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.20,Consumer Non-Durables,Food Chains,0.026367,0.026368,0.000,0.039882,0.039882,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRMBU,"Crumbs Bake Shop, Inc.",3.02,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Non-Durables,Food Chains,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CRMBW,"Crumbs Bake Shop, Inc.",0.09,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Non-Durables,Food Chains,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CTIB,CTI Industries Corporation,5.8,False,False,False,True,True,-0.033,-0.078,N/A,N/A,N/A,-10.20,-0.354,-6.66,Basic Industries,Specialty Chemicals,0.033615,0.033616,0.000,0.047171,0.047171,0.000,0.176,0.084,1.414,-0.067,0.011,0.003,-0.078
CUNB,CU Bancorp (CA),12.0,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.249637,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CBST,"Cubist Pharmaceuticals, Inc.",44.02,False,False,True,False,True,1.496,1.248,N/A,N/A,N/A,N/A,3.866,N/A,Consumer Durables,Major Pharmaceuticals,1.932385,1.887455,0.102,0.926359,0.753972,0.894,0.502,1.412,0.247,0.990,1.748,1.795,1.450
CUI,"CUI Global, Inc.",5.51,False,False,True,True,True,-0.842,-3.146,N/A,N/A,N/A,-4.07,-0.230,-1.77,Consumer Services,Advertising,0.031978,0.031978,0.000,0.038938,0.038938,0.000,3.846,7.008,2.304,0.173,0.145,0.065,-3.751
CMLS,Cumulus Media Inc.,3.3,False,False,True,True,True,-0.075,-0.315,N/A,N/A,N/A,-24.57,-0.193,-22.64,Consumer Services,Broadcasting,4.274249,4.040591,0.244,0.549544,0.549544,0.000,0.918,1.719,2.456,-0.050,0.134,-0.069,-0.315
CVBF,CVB Financial Corporation,11.31,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,6.363364,6.482915,0.081,None,0.303936,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CYCC,"Cyclacel Pharmaceuticals, Inc.",5.38,False,False,False,True,True,-1.963,-2.151,N/A,N/A,N/A,-1486.88,-1.763,-1469.25,Consumer Durables,Major Pharmaceuticals,0.025998,0.025998,0.000,0.000699,0.000699,0.000,-0.488,0.636,0.188,-1.833,-1.764,-1.740,-2.514
CYCCP,"Cyclacel Pharmaceuticals, Inc.",10.21,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Durables,Major Pharmaceuticals,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CY,Cypress Semiconductor Corporation,10.29,False,False,True,True,True,0.063,-0.024,N/A,N/A,N/A,N/A,0.122,N/A,Technology,Semiconductors,0.828233,0.81009,0.096,0.769687,0.995204,1.116,-1.641,3.256,1.274,0.014,0.126,0.137,-0.024
CONE,CyrusOne Inc,21.69,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Real Estate Investment Trusts,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CYTK,"Cytokinetics, Incorporated",1.19,False,False,False,True,True,-1.551,-2.331,N/A,N/A,N/A,-2.31,-0.263,0.31,Consumer Durables,Major Pharmaceuticals,0.052773,0.052773,0.000,0.004,0.004,0.000,-0.088,0.178,0.780,-1.992,-2.002,0.236,-2.446
CYTX,Cytori Therapeutics Inc,2.84,False,False,False,True,True,-3.437,-3.625,N/A,N/A,N/A,-5.75,-0.567,-0.08,Health Care,Medical/Dental Instruments,0.051534,0.051534,0.000,0.009996,0.009996,0.000,0.158,0.324,0.188,-3.899,-2.956,-2.810,-4.081
CYTXW,Cytori Therapeutics Inc,1.6,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Health Care,Medical/Dental Instruments,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CYTR,CytRx Corporation,2.22,False,False,True,True,True,-24.387,-25.260,N/A,N/A,N/A,-2.71,-0.345,0.74,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.037854,0.037854,0.000,0.00025,0.00025,0.000,-1.872,5.174,0.873,-41.746,-43.779,-4.240,-7.785
DAEG,Daegis Inc,1.2,False,False,True,True,True,0.217,-0.765,N/A,29.4,0.034,-0.99,0.113,-2.11,Technology,Computer Software: Prepackaged Software,0.041869,0.041869,0.000,0.043469,0.043469,0.000,1.084,2.248,4.597,0.809,-0.478,-0.765,1.300
DARA,"DARA Biosciences, Inc.",1.14,False,True,True,True,True,-35.255,-35.774,N/A,N/A,N/A,-3.51,-0.353,0.02,Consumer Durables,Major Pharmaceuticals,0.001852,0.001852,0.000,0.0,None,N/A,0.142,1.192,0.519,-26.711,-32.442,-20.200,-61.667
DTLK,Datalink Corporation,8.79,False,False,False,True,True,0.564,-0.183,N/A,48.3,0.021,-5.68,0.378,-9.47,Technology,EDP Services,0.277951,0.277951,0.000,0.380027,0.380027,0.000,0.364,0.377,1.678,1.905,-0.183,-0.007,0.539
DRAM,Dataram Corporation,0.36,False,False,False,True,True,-0.364,-0.524,N/A,N/A,N/A,-4.34,-0.428,-0.06,Technology,Electronic Components,0.01143,0.01143,0.000,0.036079,0.036079,0.000,-0.050,0.320,0.439,-0.192,-0.267,-0.474,-0.524
DSTI,"DayStar Technologies, Inc.",1.4799,False,True,True,True,True,-0.500,-1.208,N/A,N/A,N/A,-25.80,-2.351,-2.30,Technology,Semiconductors,0.014103,0.014104,0.000,0.0,None,N/A,0.356,3.471,1.000,-0.138,-0.155,-0.499,-1.208
DHRM,Dehaier Medical Systems Limited,1.95,False,False,False,True,True,-0.348,-1.188,N/A,N/A,N/A,-4.15,-0.393,-0.23,Health Care,Medical/Dental Instruments,0.034977,0.034978,0.000,0.021639,0.021639,0.000,0.997,0.473,2.286,-0.623,-1.188,0.707,-0.288
DFRG,"Del Frisco's Restaurant Group, Inc.",15.61,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Restaurants,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCTH,"Delcath Systems, Inc.",1.51,True,True,True,True,True,-81.385,-82.141,N/A,N/A,N/A,-51.37,-5.165,0.29,Health Care,Medical/Dental Instruments,0.035241,None,N/A,0.0,None,N/A,4.750,3.572,0.756,-17.426,-44.208,-151.738,-112.167
DLIA,dELIA*s Inc.,1.02,False,False,False,True,True,-0.302,-0.644,N/A,N/A,N/A,-10.01,-0.922,-0.78,Consumer Services,Catalog/Specialty Distribution,0.115336,0.115336,0.000,0.217152,0.217152,0.000,0.371,0.246,0.813,-0.062,-0.278,-0.644,-0.225
DGAS,"Delta Natural Gas Company, Inc.",20.07,False,False,False,True,True,-0.008,-0.021,N/A,N/A,N/A,-18.09,-0.247,-15.63,Public Utilities,Oil & Gas Production,0.182895,0.182895,0.000,0.074078,0.074078,0.000,0.133,0.025,1.362,-0.021,-0.011,0.004,-0.004
DNDN,Dendreon Corporation,5.95,False,False,True,True,True,-1.542,-1.873,N/A,N/A,N/A,-32.46,-3.175,-0.71,Consumer Durables,Major Pharmaceuticals,1.001491,1.001491,0.000,0.341613,0.341613,0.000,2.022,1.867,0.330,-0.924,-2.154,-1.652,-1.439
DENN,Denny's Corporation,5.14,False,False,False,True,True,-0.060,-0.165,N/A,N/A,N/A,-5.96,-0.227,-3.70,Consumer Services,Restaurants,0.350501,0.350501,0.000,0.538534,0.538534,0.000,-0.357,0.184,1.224,-0.165,0.002,-0.022,-0.055
DSCI,"Derma Sciences, Inc.",12.25,False,False,False,True,True,-0.145,-0.729,N/A,N/A,N/A,-0.14,-0.083,0.69,Health Care,Medical/Dental Instruments,0.058623,0.058624,0.000,0.06263,0.06263,0.000,0.251,0.394,2.929,-0.064,-0.083,0.294,-0.729
DXCM,"DexCom, Inc.",15.51,False,False,False,True,True,-2.200,-2.493,N/A,N/A,N/A,-9.07,-1.002,0.95,Health Care,Medical/Dental Instruments,0.120475,0.120475,0.000,0.076266,0.076266,0.000,0.871,0.291,0.293,-1.268,-2.320,-2.466,-2.745
DLLR,DFC Global Corp,19.35,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-25.28,Finance,Investment Bankers/Brokers/Service,1.7665,1.7665,0.000,1.0617,1.0617,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DLGC,"Dialogic, Inc.",2.44,False,False,True,True,True,-0.185,-0.788,N/A,N/A,N/A,-19.92,-0.806,-11.86,Technology,EDP Services,0.167211,0.163342,0.102,0.198084,0.198084,0.000,1.063,2.131,2.887,-0.269,-0.199,0.514,-0.788
DMND,"Diamond Foods, Inc.",14.26,False,False,False,True,True,0.112,-0.280,N/A,42.6,0.023,-30.33,1.368,-44.01,Consumer Non-Durables,Packaged Foods,1.299349,1.299349,0.000,0.981418,0.981418,0.000,0.855,0.686,2.903,-0.280,0.284,-0.014,0.460
DHIL,"Diamond Hill Investment Group, Inc.",72.99,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-1.40,Finance,Investment Managers,0.03772,0.03772,0.000,0.063838,0.063838,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
FANG,"Diamondback Energy, Inc.",22.7,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,5.38,Energy,Oil & Gas Production,0.491809,None,N/A,0.048671,None,N/A,N/A,N/A,N/A,0.021,N/A,N/A,N/A
DCIX,Diana Containerships Inc.,7.03,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,1.18,Transportation,Marine Transportation,0.210011,0.210012,0.000,0.026992,0.026992,0.000,N/A,N/A,N/A,0.034,N/A,N/A,N/A
DGLY,"Digital Ally, Inc.",3.6,False,False,True,True,True,-0.462,-2.342,N/A,N/A,N/A,-9.84,-0.897,-0.87,Technology,Radio And Television Broadcasting And Communications Equipment,0.013398,0.013399,0.000,0.019577,0.019577,0.000,1.345,1.256,2.910,0.182,0.755,-0.444,-2.342
DCIN,Digital Cinema Destinations Corp.,5.8,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Movies/Entertainment,None,0.023277,N/A,None,0.006671,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DCOM,"Dime Community Bancshares, Inc.",13.935,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,3.905399,4.02118,0.127,None,0.217145,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DISCK,"Discovery Communications, Inc.",64.19,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Television Services,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DSCO,"Discovery Laboratories, Inc.",2.32,False,False,False,True,True,-2.552,-2.711,N/A,N/A,N/A,-6.56,-0.652,-0.04,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),0.013324,0.013324,0.000,0.000582,0.000582,0.000,0.045,0.020,0.159,-2.153,-2.328,-2.651,-3.077
DLHC,DLH Holdings Corp.,1.09,False,False,True,True,True,-1.687,-3.027,N/A,N/A,N/A,-2.93,-0.126,-1.67,Technology,Professional Services,0.026422,0.026422,0.000,0.049193,0.049193,0.000,-2.162,4.001,1.340,-5.068,-0.386,-0.777,-0.515
DNBF,DNB Financial Corp,16.49,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.639568,0.607099,0.226,None,0.029817,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DGICA,"Donegal Group, Inc.",13.77,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,None,1.290793,N/A,None,0.475018,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DGICB,"Donegal Group, Inc.",18.86,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
HILL,Dot Hill Systems Corporation,1.18,False,False,True,True,True,-0.416,-1.185,N/A,N/A,N/A,-1.09,-0.102,-0.07,Technology,Electronic Components,0.098879,0.098879,0.000,0.197461,0.197461,0.000,-0.413,3.762,2.139,0.134,-1.185,0.547,-1.159
DBLEP,Double Eagle Petroleum Company,25.57,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Energy,Oil & Gas Production,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DRYS,DryShips Inc.,2.24,False,False,True,True,True,0.025,-0.035,N/A,25.0,0.040,-5.26,0.500,-10.26,Transportation,Marine Transportation,8.621689,8.621689,0.000,1.077662,1.077662,0.000,1.598,1.364,3.726,-0.035,-0.001,-0.029,0.166
DSKX,"DS Healthcare Group, Inc.",3.35,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0.01,Consumer Non-Durables,Package Goods/Cosmetics,0.006103,0.006104,0.001,0.009672,0.009673,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DSPG,"DSP Group, Inc.",6.77,False,False,True,True,True,0.139,-0.116,N/A,N/A,N/A,N/A,0.024,N/A,Technology,Semiconductors,0.183613,0.196056,0.285,0.16279,0.193861,0.759,-2.942,5.551,1.739,-0.116,0.303,0.383,-0.015
DNKN,"Dunkin' Brands Group, Inc.",36.71,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Restaurants,3.217513,3.224018,0.009,0.658181,0.628198,0.202,N/A,N/A,N/A,0.623,0.587,0.668,N/A
DRTX,"Durata Therapeutics, Inc.",7.81,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.94,Consumer Durables,Major Pharmaceuticals,0.116687,None,N/A,0.0,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
DRRX,Durect Corporation,1.1,False,False,False,True,True,-0.523,-0.981,N/A,N/A,N/A,-1.55,-0.136,-0.19,Consumer Durables,Major Pharmaceuticals,0.049196,0.049196,0.000,0.033487,0.033487,0.000,-0.000,0.174,1.022,-0.820,0.223,-0.981,-0.513
DYAX,Dyax Corp.,3.23,False,False,False,True,True,-1.656,-2.016,N/A,N/A,N/A,-4.77,-0.425,-0.52,Health Care,Biotechnology: Commercial Physical & Biological Resarch,0.083375,0.083375,0.000,0.048737,0.048737,0.000,-0.101,0.671,0.360,-1.816,-1.715,-2.258,-0.834
DVAX,Dynavax Technologies Corporation,3.11,False,False,False,True,True,-1.864,-2.231,N/A,N/A,N/A,-1.70,-0.215,0.45,Consumer Durables,Major Pharmaceuticals,0.134102,0.134102,0.000,0.021614,0.021614,0.000,0.112,0.457,0.367,-2.354,-2.480,-1.605,-1.018
ETFC,E*TRADE Financial Corporation,10.8,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-137.54,Finance,Savings Institutions,47.386739,47.940452,0.050,2.202472,1.418156,1.912,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EOPN,"E2open, Inc.",18.43,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-0.30,Technology,Computer Software: Prepackaged Software,0.080934,None,N/A,0.059687,None,N/A,N/A,N/A,N/A,-0.133,N/A,N/A,N/A
EBMT,"Eagle Bancorp Montana, Inc.",10.64,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Savings Institutions,0.327299,0.327299,0.000,None,0.01827,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EGBN,"Eagle Bancorp, Inc.",22.65,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,3.409441,2.831255,0.807,None,0.132625,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EGLE,Eagle Bulk Shipping Inc.,2.02,False,False,False,True,True,-0.005,-0.065,N/A,N/A,N/A,-80.90,-0.692,-73.98,Transportation,Marine Transportation,1.867256,1.867257,0.000,0.313432,0.313432,0.000,1.223,0.524,10.132,-0.065,-0.017,-0.006,0.066
EROC,"Eagle Rock Energy Partners, L.P.",9.4,False,False,False,True,True,-0.015,-0.040,N/A,N/A,N/A,-9.20,-0.225,-6.95,Energy,Oil & Gas Production,2.045688,2.045688,0.000,1.02495,1.059908,0.146,0.583,0.871,2.438,-0.022,-0.040,-0.037,0.038
EWBC,"East West Bancorp, Inc.",23.81,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,22.53611,21.968667,0.111,None,1.091372,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EIHI,"Eastern Insurance Holdings, Inc.",19.0,True,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,0.345679,None,N/A,0.13795,0.137955,0.000,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EVBS,"Eastern Virginia Bankshares, Inc.",6.1,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,1.065709,1.063034,0.011,None,0.059056,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EBAY,eBay Inc.,57.21,False,False,True,False,True,0.902,0.784,N/A,N/A,N/A,N/A,N/A,N/A,Miscellaneous,Business Services,37.274,27.320218,1.349,14.072,11.651654,0.820,N/A,N/A,0.161,0.784,0.898,0.818,1.108
ELON,Echelon Corporation,2.51,False,False,False,True,True,-0.163,-0.223,N/A,N/A,N/A,-2.84,-0.275,-0.09,Technology,Computer Communications Equipment,0.151705,0.151705,0.000,0.156487,0.156487,0.000,0.020,0.012,0.328,-0.099,-0.223,-0.185,-0.145
ECTE,"Echo Therapeutics, Inc.",0.83,False,False,False,True,True,-3.578,-4.021,N/A,N/A,N/A,-1.10,-0.119,0.08,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0.019526,0.019527,0.000,0.000447,0.000447,0.000,0.197,0.399,0.443,-5.796,-3.120,-2.041,-3.355
SATS,EchoStar Corporation,37.23,False,False,True,True,True,0.023,-0.033,N/A,32.3,0.031,-19.61,2.547,-45.08,Technology,Radio And Television Broadcasting And Communications Equipment,6.543737,6.543737,0.000,2.761431,2.761431,0.000,3.142,4.800,2.149,0.055,0.072,-0.002,-0.033
ECTY,"Ecotality, Inc.",0.57,False,False,True,True,True,-1.162,-1.749,N/A,N/A,N/A,-12.32,-1.158,-0.74,Consumer Durables,Metal Fabrications,0.050513,0.050513,0.000,0.028409,0.028409,0.000,1.507,2.905,0.587,-1.613,-1.843,-0.802,-0.388
EDAC,Edac Technologies Corporation,13.59,False,False,False,True,True,0.000,-0.102,N/A,6813.3,0.000,-6.80,0.003,-6.83,Capital Goods,Aerospace,0.066053,0.066053,0.000,0.086633,0.086633,0.000,0.504,0.586,390.662,0.055,-0.102,0.130,-0.082
EDAP,EDAP TMS S.A.,3.04,False,False,False,True,True,-0.371,-0.575,N/A,N/A,N/A,-4.06,-0.287,-1.19,Health Care,Biotechnology: Electromedical & Electrotherapeutic Apparatus,0.041849,0.04185,0.000,0.03118,0.028939,0.324,-0.098,0.232,0.501,-0.132,-0.341,-0.436,-0.575
EVAC,Edwards Group Limited,7.09,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-82.88,Capital Goods,Fluid Controls,1.434278,None,N/A,1.127755,None,N/A,N/A,N/A,N/A,0.352,N/A,N/A,N/A
EMITF,Elbit Imaging Ltd.,1.5999,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-314.26,Consumer Services,Building operators,10.371067,0.002472,36.228,0.960047,0.000183,37.198,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ESLT,Elbit Systems Ltd.,38.99,True,True,False,True,True,0.155,0.086,N/A,16.1,0.062,-64.90,16.953,-234.43,Capital Goods,Military/Government/Technical,14.2263,None,N/A,10.081415,2.817465,5.537,0.461,0.136,0.405,0.086,0.119,0.200,0.215
ESYS,Elecsys Corporation,4.71,False,False,False,True,True,0.063,-0.075,N/A,45.3,0.022,-0.21,0.140,-1.60,Capital Goods,Industrial Machinery/Components,0.018707,0.018707,0.000,0.023104,0.023104,0.000,0.003,0.074,1.800,0.133,0.178,-0.075,0.019
ESBK,Elmira Savings Bank NY (The),23.44,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.525141,0.453687,0.635,None,0.025288,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ELOQ,"Eloqua, Inc.",23.49,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Technology,Computer Software: Prepackaged Software,0.041505,None,N/A,0.071348,None,N/A,N/A,N/A,N/A,0.281,-0.744,N/A,N/A
ELTK,Eltek Ltd.,1.218,False,False,False,True,True,-0.065,-0.076,N/A,N/A,N/A,-6.97,-0.436,-2.60,Technology,Electrical Products,0.022869,0.022869,0.000,0.04683,0.04683,0.000,0.072,0.163,0.199,-0.047,-0.065,-0.076,-0.071
EMCI,"EMC Insurance Group, Inc.",25.57,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Property-Casualty Insurers,1.224031,1.230459,0.023,0.445647,0.472645,0.255,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMCF,Emclaire Financial Corp,22.0,False,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Finance,Major Banks,0.494289,0.491882,0.021,None,0.02512,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
EMKR,EMCORE Corporation,5.91,False,False,True,True,True,-0.169,-0.281,N/A,N/A,N/A,-6.54,-0.307,-3.47,Technology,Semiconductors,0.169866,0.169866,0.000,0.163781,0.163781,0.000,-1.332,2.479,0.504,-0.177,-0.143,-0.076,-0.281
EMMS,Emmis Communications Corporation,1.83,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-10.32,Consumer Services,Broadcasting,0.359287,0.340769,0.230,0.236007,0.236007,0.000,N/A,N/A,N/A,N/A,N/A,N/A,-0.390
EMMSP,Emmis Communications Corporation,10.0,True,True,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,Consumer Services,Broadcasting,None,None,N/A,None,None,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
NYNY,"Empire Resorts, Inc.",2.06,True,False,False,True,True,-0.216,-0.401,N/A,N/A,N/A,-3.15,-0.262,-0.53,Consumer Services,Restaurants,0.049834,None,N/A,0.070196,0.070196,0.000,0.047,0.023,0.747,-0.007,-0.227,-0.231,-0.401
ECPG,Encore Capital Group Inc,30.44,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,-17.85,Finance,Finance Companies,0.825745,0.812483,0.070,0.467371,0.466977,0.004,N/A,N/A,N/A,N/A,N/A,N/A,N/A
ECYT,"Endocyte, Inc.",9.99,False,False,True,True,True,N/A,N/A,N/A,N/A,N/A,N/A,N/A,3.06,Consumer Durables,Major Pharmaceuticals,0.131675,0.131675,0.000,0.000191,0.000191,0.000,N/A,N/A,N/A,-10.993,-7.069,-5.539,N/A
